Packet ID,Order Date,Seller sku code,Quantity,Courier code,Order tracking number,Order Status,Delivered Date,Invoice Value,MRP,City,zipcode,Event ,Discount
9574659348,8/1/2024,PC-M-50,3,EK_E2E,MYEP1031424262,Delivered,8/5/2024,515,699,Kakinada,533003,BAU,10%
9574659348,8/1/2024,BR-M-50,3,EK_E2E,MYEP1031424262,Delivered,8/5/2024,515,699,Kakinada,533003,BAU,10%
9574659348,8/1/2024,BR-M-50,3,EK_E2E,MYEP1031424262,Delivered,8/5/2024,515,699,Kakinada,533003,BAU,10%
8022584686,8/1/2024,BR-M-50,1,EK_E2E,MYEC1022547406,Delivered,8/6/2024,573,699,Tuni,533401,BAU,10%
8022695365,8/1/2024,PC-M-50,1,EK_E2E,MYEC1022560932,Delivered,8/5/2024,573,699,Burdwan,713104,BAU,10%
8022697967,8/1/2024,BR-M-50,1,EK_E2E,MYEC1022556527,Delivered,8/6/2024,573,699,Kolkata,743502,BAU,10%
9574821522,8/1/2024,MZ-M-50,2,flipkartlogistics,MYSC1095208708,Delivered,8/7/2024,573,699,Chennai,600083,BAU,10%
9574821522,8/1/2024,BR-M-50,2,flipkartlogistics,MYSC1095208708,Delivered,8/7/2024,573,699,Chennai,600083,BAU,10%
8023048885,8/1/2024,BR-M-50,1,EK_E2E,MYEC1022586422,Delivered,8/7/2024,573,699,Bilgi,587116,BAU,10%
8023154834,8/1/2024,BR-M-50,1,EK_E2E,MYEC1022623730,Delivered,8/7/2024,573,699,Hubli,580031,BAU,10%
8023269285,8/1/2024,BR-M-50,1,EK_E2E,MYEP1031508785,Delivered,8/7/2024,573,699,Alappuzha,688013,BAU,10%
8023313854,8/1/2024,PC-M-50,1,flipkartlogistics,MYSC1095334040,Delivered,8/6/2024,573,699,Bengaluru,560008,BAU,10%
8023378128,8/1/2024,ABF-SE-50,1,EK_E2E,MYEC1022593386,Delivered,8/6/2024,696,849,Bhuntar,175125,BAU,10%
9575055905,8/1/2024,GRC-SE-30,3,flipkartlogistics,MYSC1095332070,Delivered,8/6/2024,512,695,Bangalore,560097,BAU,10%
9575055905,8/1/2024,MZ-M-50,3,flipkartlogistics,MYSC1095332070,Delivered,8/6/2024,515,699,Bangalore,560097,BAU,10%
9575055905,8/1/2024,BHA-EX-100-2,3,flipkartlogistics,MYSC1095332070,Delivered,8/6/2024,512,599,Bangalore,560097,BAU,10%
8023440283,8/1/2024,BR-M-50,1,ecomexpress,10380946502,Delivered,8/9/2024,573,699,Bangalore,561203,BAU,10%
8023649841,8/1/2024,BR-M-50,1,flipkartlogistics,MYSP1129853507,Delivered,8/6/2024,573,699,Bangalore,560087,BAU,10%
8023772572,8/2/2024,BR-M-50,1,EK_E2E,MYEC1022621887,RTO Received,,573,699,Chandannagar,712103,BAU,10%
9575053350,8/2/2024,ABF-SE-50,2,ecomexpress,10380935491,RTO Received,,696,849,Mainpuri,205267,BAU,10%
9575053350,8/2/2024,PC-M-50,2,ecomexpress,10380935491,RTO Received,,573,699,Mainpuri,205267,BAU,10%
8024105420,8/2/2024,PC-M-50,1,EK_E2E,MYEC1022667081,RTO Received,,573,699,Haflong,788819,BAU,10%
8024317289,8/2/2024,BR-M-50,1,flipkartlogistics,MYSP1130051068,Delivered,8/8/2024,573,699,Vijayawada,520007,BAU,10%
8024730854,8/2/2024,BR-M-50,1,EK_E2E,MYEP1031627424,Delivered,8/13/2024,573,699,Aizawl,796012,BAU,10%
8024845594,8/2/2024,BR-M-50,1,flipkartlogistics,MYSC1095575332,Delivered,8/5/2024,573,699,Varanasi,221007,BAU,10%
8024872117,8/2/2024,PC-M-50,1,flipkartlogistics,MYSP1130197619,Delivered,8/7/2024,573,699,Hyderabad,500081,BAU,10%
8024962150,8/3/2024,PC-M-50,1,EK_E2E,MYEC1022717879,Delivered,8/9/2024,573,699,Vijayapura,562135,BAU,10%
8025062115,8/3/2024,ABF-SE-50,1,EK_E2E,,Pre Cancelled,,696,849,Ajmer,305001,BAU,10%
8025069015,8/3/2024,PC-M-50,1,EK_E2E,MYEC1022717251,Delivered,8/9/2024,573,699,Gangtok,737101,BAU,10%
8025090933,8/3/2024,ABF-SE-50,1,EK_E2E,MYEC1022715976,Delivered,8/7/2024,696,849,Ajmer,305001,BAU,10%
8025115729,8/3/2024,PC-M-50,1,EK_E2E,,Pre Cancelled,,573,699,Bapatla,522101,BAU,10%
8025221780,8/3/2024,VAN-SE-30,1,flipkartlogistics,MYSP1130252741,Delivered,8/7/2024,1065,1299,Mumbai,400097,BAU,10%
8025277770,8/3/2024,BR-M-50,1,EK_E2E,MYEC1022750772,Delivered,8/9/2024,573,699,Guntur,522007,BAU,10%
8025508290,8/3/2024,PC-M-50,1,flipkartlogistics,MYSC1095811191,Delivered,8/9/2024,573,699,Pune,411007,BAU,10%
9575919018,8/3/2024,PC-M-50,2,flipkartlogistics,MYSC1095810070,RTO Received,,573,699,Hyderabad,500015,BAU,10%
9575919018,8/3/2024,PC-M-50,2,flipkartlogistics,MYSC1095810070,RTO Received,,573,699,Hyderabad,500015,BAU,10%
8025711177,8/3/2024,BR-M-50,1,flipkartlogistics,MYSP1130554849,Delivered,8/7/2024,573,699,Gurgaon,122001,BAU,10%
8025736216,8/3/2024,PC-M-50,1,flipkartlogistics,MYSP1130554692,Delivered,8/11/2024,573,699,Pune,411057,BAU,10%
8026260041,8/4/2024,PC-M-50,1,ecomexpress,10382584722,RTO Received,,573,699,Thane,400612,BAU,10%
8026305215,8/4/2024,BR-M-50,1,EK_E2E,MYEP1031755186,Delivered,8/9/2024,573,699,Kolkata,713101,BAU,10%
9575917162,8/4/2024,ABF-SE-50,2,ecomexpress,3306084840,Delivered,8/8/2024,696,849,Mainpuri,205267,BAU,10%
